fold,test_flare,test_rmse,test_mae,test_loss,train_samples,val_samples,test_samples,error
0,2011-02-13 17:38:00,2.4465250968933105,1.9454911947250366,5.985484600067139,48.0,6.0,1.0,
1,2011-03-09 23:23:00,5.138139724731445,4.1941819190979,26.400482177734375,48.0,6.0,1.0,
2,2011-07-30 02:09:00,1.8101146221160889,1.21876060962677,3.276514768600464,48.0,6.0,1.0,
3,2011-08-03 13:48:00,1.482603669166565,1.4212106466293335,2.1981139183044434,48.0,6.0,1.0,
4,2011-08-04 03:57:00,1.3567047119140625,1.1017788648605347,1.8406479358673096,48.0,6.0,1.0,
5,2011-09-06 01:50:00,1.2228270769119263,1.0897198915481567,1.4953058958053589,48.0,6.0,1.0,
6,2011-09-06 22:20:00,3.32116436958313,3.028104782104492,11.030134201049805,48.0,6.0,1.0,
7,2011-09-07 22:38:00,2.918633222579956,2.3717024326324463,8.51841926574707,48.0,6.0,1.0,
8,2011-09-08 15:46:00,6.117125988006592,4.8588175773620605,37.41923522949219,48.0,6.0,1.0,
9,2011-09-25 04:50:00,3.885150909423828,3.317002058029175,15.094398498535156,48.0,6.0,1.0,
10,2012-01-23 03:59:00,0.5270599722862244,0.5007748007774353,0.2777922749519348,48.0,6.0,1.0,
11,2012-03-07 00:24:00,4.966740608215332,3.4153807163238525,24.668514251708984,48.0,6.0,1.0,
12,2012-03-07 01:14:00,4.076444625854492,3.4180352687835693,16.617401123046875,48.0,6.0,1.0,
13,2012-03-09 03:53:00,4.25611686706543,2.657033681869507,18.114532470703125,48.0,6.0,1.0,
14,2012-03-10 17:44:00,2.5543980598449707,2.4798479080200195,6.52495002746582,48.0,6.0,1.0,
15,2012-05-10 04:18:00,1.4496499300003052,1.073390007019043,2.101485252380371,48.0,6.0,1.0,
16,2012-07-02 10:52:00,3.0458526611328125,2.3380162715911865,9.277217864990234,48.0,6.0,1.0,
17,2012-07-04 09:55:00,1.5568207502365112,1.4431723356246948,2.4236907958984375,48.0,6.0,1.0,
18,2012-07-05 11:44:00,2.2677531242370605,1.7572683095932007,5.142704963684082,48.0,6.0,1.0,
19,2012-07-12 16:49:00,9.175788879394531,7.068888187408447,84.19509887695312,48.0,6.0,1.0,
20,2013-04-11 07:16:00,2.315856456756592,2.0710160732269287,5.3631911277771,48.0,6.0,1.0,
21,2013-10-24 00:30:00,2.6410129070281982,2.3080856800079346,6.974949836730957,48.0,6.0,1.0,
22,2013-11-01 19:53:00,3.381610631942749,2.8403069972991943,11.435290336608887,48.0,6.0,1.0,
23,2013-11-03 05:22:00,2.8844618797302246,2.6566994190216064,8.320120811462402,48.0,6.0,1.0,
24,2013-11-08 04:26:00,7.483922481536865,7.0028557777404785,56.00910186767578,48.0,6.0,1.0,
25,2013-11-10 05:14:00,3.496617317199707,2.8925704956054688,12.226332664489746,48.0,6.0,1.0,
26,2013-12-31 21:58:00,2.904290199279785,2.384976625442505,8.43490219116211,48.0,6.0,1.0,
27,2014-01-07 10:13:00,3.3570475578308105,2.752725601196289,11.269766807556152,48.0,6.0,1.0,
28,2014-01-07 18:32:00,1.749630331993103,1.5668659210205078,3.061206340789795,48.0,6.0,1.0,
29,2014-02-04 04:00:00,4.433375358581543,3.375922441482544,19.654817581176758,48.0,6.0,1.0,
30,2014-03-29 17:48:00,4.886916160583496,3.549919366836548,23.881954193115234,48.0,6.0,1.0,
31,2014-04-18 13:03:00,3.8396339416503906,3.106421709060669,14.742789268493652,48.0,6.0,1.0,
32,2014-04-25 00:27:00,2.6277177333831787,2.4963338375091553,6.904901027679443,48.0,6.0,1.0,
33,2014-09-10 17:45:00,11.866016387939453,10.064152717590332,140.8023681640625,48.0,6.0,1.0,
34,2014-09-28 02:58:00,1.8308889865875244,1.5998057126998901,3.352154493331909,48.0,6.0,1.0,
35,2014-10-22 01:59:00,2.0139989852905273,1.3385378122329712,4.056192398071289,48.0,6.0,1.0,
36,2014-10-22 14:28:00,2.623626947402954,1.828409194946289,6.883418560028076,48.0,6.0,1.0,
37,2014-10-24 21:41:00,0.7352703809738159,0.6578352451324463,0.5406225323677063,48.0,6.0,1.0,
38,2014-10-25 17:08:00,4.390886306762695,3.0203988552093506,19.279884338378906,48.0,6.0,1.0,
39,2014-10-26 10:56:00,1.9553325176239014,1.5585273504257202,3.8233251571655273,48.0,6.0,1.0,
40,2014-11-07 17:26:00,2.8083925247192383,2.242083787918091,7.887068748474121,48.0,6.0,1.0,
41,2014-12-04 18:25:00,1.7171525955200195,1.5410178899765015,2.948613166809082,48.0,6.0,1.0,
42,2014-12-17 04:51:00,2.247126340866089,1.7446895837783813,5.049577236175537,48.0,6.0,1.0,
43,2014-12-18 21:58:00,3.248727321624756,2.401886463165283,10.554229736328125,48.0,6.0,1.0,
44,2014-12-20 00:28:00,7.48566198348999,7.106914043426514,56.03513717651367,48.0,6.0,1.0,
45,2015-03-09 23:53:00,3.1482467651367188,2.794947862625122,9.911457061767578,48.0,6.0,1.0,
46,2015-03-10 03:24:00,3.8635544776916504,3.4651076793670654,14.927053451538086,48.0,6.0,1.0,
47,2015-03-11 16:22:00,2.644787311553955,2.6124608516693115,6.994901180267334,48.0,6.0,1.0,
48,2015-06-22 18:23:00,2.709784507751465,2.63551926612854,7.34293270111084,48.0,6.0,1.0,
49,2015-06-25 08:16:00,1.2241790294647217,1.0311192274093628,1.4986143112182617,48.0,6.0,1.0,
50,2015-08-24 07:33:00,2.4805567264556885,2.1383306980133057,6.153161525726318,48.0,6.0,1.0,
51,2015-09-28 14:58:00,0.3772795796394348,0.33157601952552795,0.14233988523483276,48.0,6.0,1.0,
52,2017-09-04 20:33:00,5.224515914916992,3.629493474960327,27.295568466186523,48.0,6.0,1.0,
53,2017-09-06 09:10:00,3.3473618030548096,2.670567512512207,11.204832077026367,48.0,6.0,1.0,
54,2017-09-06 12:02:00,9.521432876586914,7.075276851654053,90.65768432617188,48.0,6.0,1.0,
55,2017-09-07 10:15:00,,,,,,,Empty dataset
56,2017-09-07 14:36:00,,,,,,,Empty dataset
